"","1","2"
"shov.i1",20.131536140197,0.805555555555556
"shov.i2",9.51242846841364,0.694444444444444
"pmrootmax.3",16.1667474101873,0.527777777777778
"hypo.m1",3.31629618025805,0.472222222222222
"hypo.m2",44.4011084348778,0.833333333333333
"hypo.m3",23.294863167718,0.75
"meta.m1",49.8368078659355,0.444444444444444
"meta.m2",45.5162596202889,0.333333333333333
"meta.m3",15.6330368641382,0.527777777777778
"carabell.m1",4.36565971102749,0.583333333333333
"molgroovpat.m1",0.240755674815964,0.527777777777778
"molgroovpat.m2",8.70772104802342,0.5
"cusp5.m2",2.30313126316401,0.472222222222222
