"","SOU","LL","KM","AI","EN","AS","LER","JT","UEM"
"SOU",0,0.260237588506803,0.130066430764303,0.0192896468796451,0.154173449300759,0.653949198756674,0.549049900027087,0.317137545925948,1.99014943341546
"LL",0.260237588506803,0,0.113405273288482,0.0918506032228036,0.0410134702476871,0.214583447038948,0.0956207430488905,0.130915237970141,1.438646611754
"KM",0.130066430764303,0.113405273288482,0,-0.0198570346285805,0.0255149876283241,0.239720292272467,0.244940073417037,0.351200969439548,1.92812466169181
"AI",0.0192896468796451,0.0918506032228036,-0.0198570346285805,0,-0.0479047273189474,0.109809806441319,0.193299633271463,0.0717129995956158,1.93214783743103
"EN",0.154173449300759,0.0410134702476871,0.0255149876283241,-0.0479047273189474,0,0.103224952042155,0.0916132252901683,0.178313578113325,1.92274571203207
"AS",0.653949198756674,0.214583447038948,0.239720292272467,0.109809806441319,0.103224952042155,0,0.0335941762832961,0.206615417792697,1.74280086840192
"LER",0.549049900027087,0.0956207430488905,0.244940073417037,0.193299633271463,0.0916132252901683,0.0335941762832961,0,0.144835821224488,1.66558472330629
"JT",0.317137545925948,0.130915237970141,0.351200969439548,0.0717129995956158,0.178313578113325,0.206615417792697,0.144835821224488,0,1.40697743451299
"UEM",1.99014943341546,1.438646611754,1.92812466169181,1.93214783743103,1.92274571203207,1.74280086840192,1.66558472330629,1.40697743451299,0
